geoid,median_income,no_vehicle,commuters_total,commuters_transit,transit_share
36005018502,21635.0,1849.0,1412.0,775.0,0.5488668555240793
36005018900,45770.0,2182.0,3434.0,2375.0,0.6916132789749563
36005019300,38663.0,2024.0,2449.0,1844.0,0.7529603919967334
36005019400,70185.0,195.0,897.0,368.0,0.41025641025641024
36005019500,33412.0,2387.0,2172.0,1450.0,0.6675874769797422
36005019700,34871.0,2093.0,2951.0,2302.0,0.7800745509996612
36005019900,35139.0,2355.0,3340.0,2271.0,0.6799401197604791
36005020000,46021.0,855.0,1938.0,1070.0,0.5521155830753354
36005020100,37433.0,1018.0,1000.0,668.0,0.668
36005020200,53651.0,532.0,1188.0,731.0,0.6153198653198653
36005020400,59138.0,510.0,1185.0,585.0,0.4936708860759494
36005020501,17056.0,2212.0,1788.0,1129.0,0.6314317673378076
36005020502,28510.0,778.0,1147.0,775.0,0.6756756756756757
36005020601,55648.0,510.0,1146.0,824.0,0.7190226876090751
36005020900,44769.0,1608.0,2026.0,1236.0,0.6100691016781836
36005021001,46269.0,2328.0,2829.0,1706.0,0.6030399434429127
36005021002,71397.0,2205.0,3447.0,1922.0,0.5575863069335654
36005021100,42077.0,1440.0,2418.0,1339.0,0.553763440860215
36005021200,66329.0,1697.0,2353.0,1669.0,0.7093072673183171
36005021301,34470.0,240.0,437.0,318.0,0.7276887871853547
36005021302,23639.0,1961.0,1565.0,1001.0,0.6396166134185304
36005021501,39756.0,953.0,1952.0,1291.0,0.6613729508196722
36005021502,19904.0,1468.0,1892.0,1388.0,0.733615221987315
36005021601,45156.0,1035.0,1951.0,1306.0,0.6694003075345977
36005021602,60286.0,1630.0,3025.0,2194.0,0.725289256198347
36005021700,40394.0,1405.0,2294.0,1362.0,0.5937227550130776
36005021800,55804.0,1272.0,2651.0,1551.0,0.5850622406639004
36005021900,45906.0,263.0,406.0,298.0,0.7339901477832512
36005022000,32174.0,421.0,641.0,486.0,0.7581903276131046
36005022101,55078.0,927.0,1490.0,951.0,0.6382550335570469
36005022102,50051.0,1363.0,2443.0,1782.0,0.7294310274252968
36005022200,52734.0,724.0,1257.0,798.0,0.6348448687350835
36005022300,33646.0,2009.0,2354.0,1624.0,0.6898895497026338
36005022401,63571.0,445.0,1140.0,558.0,0.48947368421052634
36005022403,88534.0,651.0,1350.0,593.0,0.43925925925925924
36005022404,66121.0,1102.0,2387.0,1344.0,0.5630498533724341
36005022500,52834.0,1562.0,3256.0,2223.0,0.6827395577395577
36005022701,31500.0,1580.0,1860.0,1360.0,0.7311827956989247
36005022702,27165.0,429.0,520.0,337.0,0.6480769230769231
36005022703,75489.0,520.0,782.0,431.0,0.551150895140665
36005022800,86549.0,1042.0,3044.0,1769.0,0.581143232588699
36005022901,50023.0,1511.0,2351.0,1805.0,0.7677584006805614
36005022902,51964.0,744.0,1751.0,1284.0,0.7332952598515134
36005023000,55625.0,423.0,1066.0,586.0,0.549718574108818
36005023100,55179.0,268.0,540.0,266.0,0.4925925925925926
36005023200,55288.0,435.0,972.0,421.0,0.4331275720164609
36005023301,31887.0,1355.0,1667.0,1308.0,0.7846430713857229
36005023302,52092.0,815.0,1369.0,1000.0,0.7304601899196493
36005023501,39419.0,936.0,1418.0,950.0,0.6699576868829337
36005023502,49286.0,1239.0,1893.0,1253.0,0.6619123085050185
36005023600,73152.0,268.0,749.0,364.0,0.48598130841121495
36005023702,53304.0,192.0,468.0,255.0,0.5448717948717948
36005023703,21551.0,1609.0,1232.0,794.0,0.6444805194805194
36005023704,34875.0,1150.0,1368.0,795.0,0.581140350877193
36005023800,72198.0,269.0,1109.0,479.0,0.43192064923354373
36005023900,46927.0,2044.0,3530.0,2808.0,0.7954674220963173
36005024000,76250.0,466.0,2067.0,1094.0,0.5292694726656991
36005024100,45425.0,1912.0,2560.0,1842.0,0.71953125
36005024300,29747.0,1525.0,1882.0,1470.0,0.7810839532412327
36005024400,58603.0,250.0,1092.0,290.0,0.26556776556776557
36005024501,43504.0,989.0,2134.0,894.0,0.4189315838800375
36005024502,33333.0,859.0,1617.0,798.0,0.4935064935064935
36005024600,86932.0,209.0,995.0,407.0,0.40904522613065325
36005024700,50993.0,447.0,880.0,511.0,0.5806818181818182
36005024800,64961.0,536.0,1618.0,883.0,0.5457354758961681
36005024900,,0.0,0.0,0.0,
36005025000,98700.0,368.0,1152.0,544.0,0.4722222222222222
36005025100,44845.0,1570.0,3382.0,1710.0,0.5056179775280899
36005025200,85192.0,201.0,1204.0,234.0,0.19435215946843853
36005025300,49906.0,1367.0,2537.0,1659.0,0.6539219550650375
36005025400,78500.0,243.0,838.0,308.0,0.36754176610978523
36005025500,39231.0,1780.0,2750.0,1947.0,0.708
36005025600,51053.0,202.0,786.0,363.0,0.4618320610687023
36005025700,57241.0,423.0,829.0,560.0,0.6755126658624849
36005026100,61552.0,768.0,886.0,546.0,0.6162528216704289
36005026300,37361.0,1615.0,2537.0,1806.0,0.711864406779661
36005026400,70463.0,449.0,3038.0,1190.0,0.391705069124424
36005026500,57900.0,1500.0,2966.0,1834.0,0.6183412002697235
36005026601,47778.0,533.0,1271.0,566.0,0.44531864673485444
36005026602,46069.0,1511.0,2130.0,1348.0,0.6328638497652582
36005026701,49167.0,922.0,1278.0,856.0,0.6697965571205008
36005026702,65500.0,1589.0,3244.0,1927.0,0.594019728729963
36005026900,27374.0,1283.0,1756.0,1014.0,0.5774487471526196
36005027300,54396.0,2044.0,3410.0,2043.0,0.5991202346041056
36005027401,89925.0,236.0,2558.0,679.0,0.26544175136825643
36005027402,101142.0,91.0,1677.0,391.0,0.23315444245676803
36005027600,,20.0,9.0,3.0,0.3333333333333333
36005027700,29939.0,1337.0,1866.0,1134.0,0.6077170418006431
36005027900,57129.0,1472.0,3181.0,1764.0,0.5545425966677145
36005028100,67917.0,1008.0,1579.0,935.0,0.5921469284357188
36005028300,,594.0,994.0,770.0,0.7746478873239436
36005028400,,0.0,18.0,0.0,0.0
36005028500,70543.0,723.0,2055.0,907.0,0.44136253041362533
36005028600,87917.0,72.0,474.0,114.0,0.24050632911392406
36005028700,68370.0,687.0,1553.0,827.0,0.5325177076625885
36005028800,86757.0,170.0,1307.0,492.0,0.3764345830145371
36005028900,53138.0,1239.0,2063.0,1333.0,0.6461463887542414
36005029301,137917.0,142.0,775.0,201.0,0.2593548387096774
36005029302,121250.0,564.0,2237.0,782.0,0.34957532409476977
36005029500,95435.0,811.0,2353.0,932.0,0.3960900977475563
36005029600,55486.0,388.0,837.0,208.0,0.24850657108721624
36005029700,97132.0,634.0,1396.0,648.0,0.46418338108882523
36005030000,90307.0,741.0,3305.0,1092.0,0.3304084720121029
36005030100,81351.0,213.0,603.0,214.0,0.3548922056384743
36005030201,68948.0,754.0,1665.0,1078.0,0.6474474474474474
36005030202,59107.0,1207.0,2373.0,994.0,0.41887905604719766
36005030701,134700.0,566.0,2397.0,862.0,0.359616186900292
36005030900,116417.0,402.0,1013.0,222.0,0.21915103652517276
36005031000,121617.0,41.0,1931.0,336.0,0.17400310719834283
36005031200,118529.0,92.0,788.0,207.0,0.2626903553299492
36005031400,115368.0,124.0,972.0,399.0,0.4104938271604938
36005031600,97202.0,224.0,843.0,321.0,0.3807829181494662
36005031800,91625.0,20.0,730.0,225.0,0.3082191780821918
36005031900,,0.0,198.0,28.0,0.1414141414141414
36005032300,96678.0,1188.0,1785.0,823.0,0.46106442577030815
36005032400,40239.0,744.0,1337.0,682.0,0.5100972326103216
36005032600,104870.0,228.0,1634.0,451.0,0.27600979192166464
36005032800,46648.0,872.0,1484.0,796.0,0.5363881401617251
36005033000,44785.0,1264.0,1905.0,1187.0,0.6230971128608924
36005033201,37898.0,1587.0,1795.0,1163.0,0.6479108635097494
36005033202,42114.0,1017.0,1213.0,608.0,0.5012366034624897
36005033400,,6.0,10.0,7.0,0.7
36005033500,107054.0,203.0,946.0,231.0,0.2441860465116279
36005033601,27674.0,1639.0,1754.0,1173.0,0.6687571265678449
36005033602,58947.0,200.0,611.0,500.0,0.8183306055646481
36005033700,144886.0,164.0,1124.0,242.0,0.21530249110320285
36005033801,68330.0,322.0,951.0,682.0,0.7171398527865405
36005033802,69960.0,362.0,806.0,458.0,0.5682382133995038
36005034000,64727.0,845.0,2524.0,1447.0,0.5732963549920761
36005034200,67809.0,187.0,876.0,472.0,0.5388127853881278
36005034300,87950.0,79.0,794.0,183.0,0.2304785894206549
36005034400,73438.0,203.0,944.0,482.0,0.510593220338983
36005034500,118583.0,531.0,1784.0,495.0,0.2774663677130045
36005034800,47593.0,1102.0,2263.0,992.0,0.4383561643835616
36005035000,69178.0,204.0,1027.0,358.0,0.3485881207400195
36005035100,110513.0,336.0,1986.0,792.0,0.3987915407854985
36005035600,98523.0,132.0,1072.0,273.0,0.25466417910447764
36005035800,85804.0,906.0,3597.0,1540.0,0.42813455657492355
36005035900,24823.0,867.0,837.0,550.0,0.6571087216248507
36005036000,96250.0,273.0,1263.0,514.0,0.4069675376088678
36005036100,24728.0,1744.0,1721.0,940.0,0.5461940732132481
36005036300,26524.0,1952.0,2426.0,1517.0,0.6253091508656224
36005036400,62188.0,318.0,1135.0,563.0,0.4960352422907489
36005036501,41287.0,969.0,1513.0,913.0,0.6034368803701256
